,Fields,Field Name,Type,Field Description,Update,Update AM/PM,"Notes, Examples"
0,0,Symbol,String,Ticker symbol in upper case. ,N/A,N/A,See Symbology Table
1,1,Description,String,"A company, index or fund name",Yes,Yes,Once per day descriptions are loaded from the database when Pre-Market tasks are run at 7:29:50 AM ET. 
2,2,Bid Price,float,Current Best Bid Price,Yes,No,From FH
3,3,Ask Price,float,Current Best Ask Price,Yes,No,From FH
4,4,Last Price,float,Price at which the last trade was matched,Yes,No,From FH
5,5,High Price,float,Day’s high trade price,Yes,No,"[<li>According to industry standard, only regular session trades set the High and Low. </li>, <li>If a stock does not trade in the AM session, high and low will be zero.</li>, <li>High/low reset to 0 at 7:28am ET</li>]"
6,6,Low Price,float,Day’s low trade price,Yes,No,See High Price notes
7,7,Close Price,float,Previous day’s closing price,No,No,[<li>Closing prices are updated from the DB when Pre-Market tasks are run at 7:29AM ET.</li>]
8,8,Total Volume,long,"Aggregated shares traded throughout the day, including pre/post market hours.",Yes,No,Volume is set to zero at 7:28am ET. 
9,9,Open Interest,int, ,Yes,No, 
10,10,Volatility,float,Option Risk/Volatility Measurement,Yes,No,Volatility is reset to 0 when Pre-Market tasks are run at 7:28 AM ET
11,11,Quote Time,long,Trade time of the last quote,Yes,No,Seconds since midnight EST
12,12,Trade Time,long,Trade time of the last trade,Yes,No,Seconds since midnight EST
13,13,Money Intrinsic Value,float, , , , 
14,14,Quote Day,Int,Day of the quote,N/A,N/A, 
15,15,Trade Day,Int,Day of the trade,N/A,N/A, 
16,16,Expiration Year,int, ,Yes,No, 
17,17,Multiplier,float, ,Yes,No, 
18,18,Digits,int,Valid decimal points,Yes,No,"AMEX, NASDAQ,OTCBB,PINKS =  4, others = 2"
19,19,Open Price,float,Day's Open Price,Yes,No,From FH
20,20,Bid Size,float,Number of shares for bid,Yes,No,From FH
21,21,Ask Size,float,Number of shares for ask,Yes,No,From FH
22,22,Last Size,float,Number of shares traded with last trade,Yes,No,Size in 100’s
23,23,Net Change,float,Current Last-Prev Close,Yes,No,If(close>0)
24,24,Strike Price,float, ,Yes,No, 
25,25,Contract Type,char, , , , 
26,26,Underlying,String, , , , 
27,27,Expiration Month,int, , , , 
28,28,Deliverables,String, , , , 
29,29,Time Value,float, , , , 
30,30,Expiration Day,int, , , , 
31,31,Days to Expiration,int, , , , 
32,32,Delta,float, , , , 
33,33,Gamma,float, , , , 
34,34,Theta,float, , , , 
35,35,Vega,float, , , , 
36,36,Rho,float, , , , 
37,37,Security Status,String, ,Yes,Yes,"Indicates a symbols current trading status, Normal, Halted, Closed"
38,38,Theoretical Option Value,float, , , , 
39,39,Underlying Price,double, , , , 
40,40,UV Expiration Type,char, , , , 
41,41,Mark,double,Mark Price,Yes,Yes, 
